city,x,y
00,120.701520187911,36.37423
01,120.701520187911,36.37423
02,120.701520187911,36.37423
03,120.701520187911,36.37423
04,120.69871747472,36.3745756929757
05,120.699795441332,36.3759123905177
06,120.706910020971,36.3757961568688
07,120.705616461037,36.3724834242158
08,120.70317307005,36.3775396432051
09,120.692896455016,36.3780045662363
10,120.694333743832,36.3752149859956
11,120.697352050345,36.3787600601826
12,120.696202219292,36.3764354397698
13,120.701160865707,36.379050632806
14,120.693902557187,36.3802129123481
15,120.698358152516,36.3805615927938
16,120.702526290083,36.3812008361815
17,120.6914591662,36.3820144110088
18,120.696058490411,36.382479307055
19,120.70051408574,36.3827698656601
20,120.699867305773,36.3707979442078
21,120.692896455016,36.3707979442078
22,120.696489677056,36.3682405938486
23,120.6969208637,36.3714372685473
24,120.705257138833,36.3689961834627
25,120.708850360873,36.3702167356635
26,120.708706631991,36.3673106272386
27,120.713018498439,36.3682987163894
28,120.68966255518,36.3666131449225
29,120.693758828305,36.3624281185739
30,120.699364254687,36.3874186543919
31,120.712946633998,36.3720184678931
32,120.700226627977,36.3642881583163
