,city,x,y
0,0,0.4744849337111022,0.4722540369700673
1,1,0.4744849337111022,0.4722540369700673
2,2,0.4744849337111022,0.4722540369700673
3,3,0.4744849337111022,0.4722540369700673
4,4,0.36233394937791896,0.48608699270275063
5,5,0.40546894335532585,0.5395751432464679
6,6,0.6901599035975681,0.5349240365332413
7,7,0.6383979108413981,0.4023645477283759
8,8,0.5406252578330695,0.6046899010591863
9,9,0.1294049819322208,0.6232938651588094
10,10,0.18691830723505096,0.5116683977817428
11,11,0.3076962903481345,0.653525067555181
12,12,0.2616856300971132,0.5605050367031105
13,13,0.4601066023851103,0.6651523742089971
14,14,0.169664309636582,0.7116611625988191
15,15,0.3479556180524957,0.7256136623863059
16,16,0.5147442614558374,0.7511930814254966
17,17,0.07189165662939065,0.7837483988953909
18,18,0.2559342975908272,0.8023512831868373
19,19,0.4342256060067409,0.8139780288963929
20,20,0.4083446096283716,0.33491981503909446
21,21,0.1294049819322208,0.33491981503909446
22,22,0.2731882951904334,0.23258706083879144
23,23,0.29044229274966554,0.3605024733765747
24,24,0.6240195795154063,0.2628220913961271
25,25,0.7678028927724816,0.3116626688726531
26,26,0.7620515602269587,0.19537430890871435
27,27,0.9345915361365865,0.23491284293578762
28,28,0.0,0.16746445050529632
29,29,0.16391297708992186,0.0
30,30,0.38821494575628823,1.0
31,31,0.9317158698624034,0.383759251463897
32,32,0.42272294095436347,0.0744297663700768
